A64,"Unspecified Sexually Transmitted Disease"
N42.9,"Disorder Of Prostate, Unspecified"
N52.9,"Male Erectile Dysfunction, Unspecified"
N72,"Inflammatory Disease Of Cervix Uteri"
N72,"Inflammatory Disorder Of Cervix Uteri"
N76.0,"Acute Vaginitis"
N76.89,"Other Specified Inflammation Of Vagina And Vulva"
N83.20,"Unspecified Ovarian Cyst"
N83.29,"Other Ovarian Cyst"
N87.0,"Mild Cervical Dysplasia"
N89.8,"Other Specified Noninflammatory Disorders Of Vagina"
N91.2,"Amenorrhea, Unspecified"
N92.0,"Excessive And Frequent Menstruation With  Regular Cycle"
N92.1,"Excessive And Frequent Menstruation Without  Regular Cycle"
N92.1,"Excessive And Frequent Menstruation With  Irregular Cycle"
N92.6,"Irregular Menstruation, Unspecified"
N94.6,"Dysmenorrhea, Unspecified"
N94.89,"Other Specified Conditions Associated With Female Genital Organs And Menstrual Cycle"
N94.9,"Unspecified Condition Associated With Female Genital Organs And Menstrual Cycle"
N95.0,"Postmenopausal Bleeding"
N95.1,"Menopausal And Female Climacteric States"
N95.2,"Postmenopausal Atrophic Vaginitis"
N97.9,"Female Infertility, Unspecified"
O02.1,"Missed Abortion"
O09.891,"Supervision Of Other High-Risk Pregnancies,  First Trimester"
O09.892,"Supervision Of Other High-Risk Pregnancies,  Second Trimester"
O09.893,"Supervision Of Other High-Risk Pregnancies,  Third Trimester"
O09.899,"Supervision Of Other High-Risk Pregnancies, Unspecified Trimester"
O99.810,"Abnormal Glucose Complicating Pregnancy"
P59.9,"Neonatal Jaundice, Unspecified"
R00.0,"Tachycardia, Unspecified"
R00.2,"Palpitations"
R03.0,"Elevated Blood Pressure Reading,  Without Diagnosis Of Hypertension"
R05,"Cough"
R06.02,"Shortness Of Breath"
R06.89,"Other Abnormalities Of Breathing"
R07.89,"Other Chest Pain"
R07.9,"Chest Pain, Unspecified"
R10.11,"Right Upper Quadrant Pain"
R10.13,"Epigastric Pain"
R10.31,"Right Lower Quadrant Pain"
R10.32,"Left Lower Quadrant Pain"
R10.84,"Generalized Abdominal Pain"
R10.9,"Unspecified Abdominal Pain"
R11.0,"Nausea"
R11.10,"Vomiting, Unspecified"
R11.2,"Nausea With Vomiting, Unspecified"
R14.0,"Abdominal Distention (Gaseous)"
R14.1,"Gas Pain"
R14.2,"Eructation"
R14.3,"Flatulence"
R17,"Unspecified Jaundice"
R19.7,"Diarrhea, Unspecified"
R20.0,"Anesthesia Of Skin"
R20.1,"Hypoesthesia Of Skin"
R20.2,"Paresthesia Of Skin"
R20.3,"Hyperesthesia"
R20.8,"Other Disturbances Of Skin Sensation"
R20.9,"Unspecified Disturbances Of Skin Sensation"
R21,"Rash And Other Nonspecific Skin Eruption"
R25.2,"Cramp And Spasm"
R30.0,"Dysuria"
R31.0,"Gross Hematuria"
R31.9,"Hematuria, Unspecified"
R32,"Unspecified Urinary Incontinence"
R35.0,"Frequency Of Micturition"
R35.1,"Nocturia"
R35.8,"Other Polyuria"
R39.15,"Urgency Of Urination"
R41.3,"Other Amnesia"
R42,"Dizziness And Giddiness"
R50.9,"Fever, Unspecified"
R51,"Headache"
R53.81,"Other Malaise"
R53.82,"Chronic Fatigue, Unspecified"
R53.83,"Other Fatigue"
R55,"Syncope And Collapse"
R56.9,"Unspecified Convulsions"
R59.9,"Enlarged Lymph Nodes, Unspecified"
R60.9,"Edema, Unspecified"
R63.4,"Abnormal Weight Loss"
R63.5,"Abnormal Weight Gain"
R68.82,"Decreased Libido"
R68.89,"Other General Symptoms And Signs"
R73.01,"Impaired Fasting Glucose"
R73.02,"Impaired Glucose Tolerance (Oral)"
R73.09,"Other Abnormal Glucose"
R73.9,"Hyperglycemia, Unspecified"
R74.0,"Nonspecific Elevation Of Levels Of Transaminase and Lactic Acid Dehydrogenase (LDH)"
R74.8,"Abnormal Levels Of Other Serum Enzymes"
R76.9,"Abnormal Immunological Finding In Serum, Unspecified"
R80.9,"Proteinuria, Unspecified"
R82.99,"Other Abnormal Findings In Urine"
R87.610,"Atypical Squamous Cells Of Undetermined Significance On Cytologic Smear Of Cervix (ASC-US)"
R87.612,"Low Grade Squamous Intraepithelial Lesion  On Cytologic Smear Of Cervix (LGSIL)"
R87.619,"Unspecified Abnormal Cytological Findings  In Specimens From Cervix Uteri"
R87.810,"Cervical High-Risk Human Papillomavirus (HPV)  DNA Test Positive"
R89.4,"Abnormal Immunological Finding In Specimens  From Other Organs, Systems, And Tissues"
R94.31,"Abnormal Electrocardiogram (ECG) (EKG)"
R94.5,"Abnormal Results Of Liver Function Studies"
R94.6,"Abnormal Results Of Thyroid Function Studies"
R97.2,"Elevated Prostate Specific Antigen (PSA)"
T78.40xA,"Allergy, Unspecified, Initial Encounter"
T78.40xD,"Allergy, Unspecified, Subsequent Encounter"
T78.40xS,"Allergy, Unspecified, Sequela"
T88.7xxA,"Unspecified Adverse Effect Of Drug Or Medicament,  Initial Encounter"
T88.7xxA,"Unspecified Adverse Effect Of Drug Or Medicament, Sequela"
Z00.00,"Encounter For General Adult Medical Examination  Without Abnormal Findings"
Z00.129,"Encounter For Routine Child Health Examination  Without Abnormal Findings"
Z01.419,"Encounter For Gynecological Examination (General) (Routine) Without Abnormal Findings"
Z01.810,"Encounter For Preprocedural Cardiovascular Examination"
Z01.818,"Encounter For Other Preprocedural Examination"
Z02.0,"Encounter Examination For Admission To Educational Institution"
Z02.1,"Encounter For Pre-Employment Examination"
Z02.2,"Encounter For Examination For Admission To Residential Institution"
Z02.3,"Encounter For Examination For Recruitment To  Armed Forces"
Z02.4,"Encounter For Examination For Driving License"
Z02.5,"Encounter For Examination For Participation In Sport"
Z02.6,"Encounter For Examination For Insurance Purposes"
Z02.71,"Encounter For Disability Determination"
Z02.79,"Encounter For Issue Of Other Medical Certificate"
Z02.81,"Encounter For Paternity Testing"
Z02.82,"Encounter For Adoption Services"
Z02.83,"Encounter For Blood-Alcohol And Blood-Drug Test"
Z02.89,"Encounter For Other Administrative Examinations"
Z08,"Encounter For Follow-Up Examination After Completed Treatment For Malignant Neoplasm"
Z09,"Encounter For Follow-Up Examination After Completed Treatment For Conditions Other Than Malignant Neoplasm"
Z11.3,"Encounter For Screening For Infections With A Predominantly Sexual Mode Of Transmission"
Z11.51,"Encounter For Screening For Human Papillomavirus (HPV)"
Z11.59,"Encounter For Screening For Other Viral Diseases"
Z11.8,"Encounter For Screening For Other Infectious  And Parasitic Diseases"
Z11.9,"Encounter For Screening For Infectious  And Parasitic Diseases, Unspecified"
Z12.11,"Encounter For Screening For Malignant Neoplasm  Of Colon"
Z12.12,"Encounter For Screening For Malignant Neoplasm  Of Rectum"
Z12.4,"Encounter For Screening For Malignant Neoplasm  Of Cervix"
Z12.5,"Encounter For Screening For Malignant Neoplasm  Of Prostate"
Z12.72,"Encounter For Screening For Malignant Neoplasm  Of Vagina"
Z13.0,"Encounter For Screening For Diseases Of The Blood And Blood-Forming Organs And Certain Disorders Involving  The Immune Mechanism"
